lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
6053	Midlevel Prescriber Last name		Apellido Prescriptor nivel medio	Apellido Prescriptor nivel medio	Nachname einfache überweisende Person	Achternaam midlevel voorschrijver	שם משפחה של נותן מרשם בדרג ביניים				中级处方姓氏	中級處方姓氏	Фамилия ответственного среднего уровня	Միջին մակարդակի  պատասխանատուի  ազգնունը		Midlevel(Tingkat Pertengahan) Nama akhir Resep				Sobrenome do Prescritor de Nível Médio		الإسم الأخير للواصف الدوائي متوسط المستوي					Cognome del prescrittore di medio livello	Midlevel prescriber अंतिम नाम	Prenume prescriptor nivel mediu	Midlevel tên Prescriber cuối				Прізвище відповідального середнього рівня													Midlevel Prescriber आडनाव			Midlevel prescriber अंतिम नाम						dummy
6054	Midlevel Prescriber NPI																			Prescritor de nível médio NPI																																				dummy
6055	Midlevel Prescriber Prefix		Prefijo Prescriptor nivel medio	Prefijo Prescriptor nivel medio	Titel einfache überweisende Person	Titulatuur midlevel voorschrijver	קידומת של נותן מרשם בדרג ביניים				中层处方前缀	中級處方首碼	Инициалы ответственного среднего уровня	Միջին մակարդակի  պատասխանատուի  բնորոշիչ		Midlevel(Tingkat Pertengahan) Awalan Resep				Prefixo do Prescritor de Nível Médio		بادئة الواصف الدوائي متوسط المستوي					Prefisso del prescrittore di medio livello	Midlevel prescriber उपसर्ग	Prefix prescriptor nivel mediu	Midlevel Prescriber Tiền tố				Ініціали відповідального середнього рівня													Midlevel Prescriber पूर्वपद			Midlevel prescriber उपसर्ग						dummy
6056	Midlevel Prescriber UPIN		Nº médico nivel medio	Nº médico nivel medio	UPIN einfache überweisende Person	UPIN midlevel voorscrijver	UPIN של נותן מרשם בדרג ביניים				中级处方的UPIN	中級處方的UPIN	UPIN ответственного среднего уровня	Միջին մակարդակի  պատասխանատուի  UPIN		Midlevel(Tingkat Pertengahan) UPIN Resep				Prescritor de nível médio UPIN		رقم ممارسه المهنة العالمي للواصف الدوائي متوسط المستوي					UPIN del prescrittore di medio livello	Midlevel prescriber UPIN	UPIN presciptor  nivel mediu	Midlevel Prescriber UPIN				UPIN відповідального середнього рівня													Midlevel Prescriber UPIN			Midlevel prescriber UPIN						dummy
6057	Mid{{Middle Distance Add}}																			Mid{{Distância Média Adicionar}}									Mid{{Middle Distance Add}}																											dummy
6058	Mid{{middle Rx strength}}																			Média {{força do Rx médio}}									Mid{{middle Rx strength}}																											dummy
6059	Mid{{Middle segment in a trifocal glasses prescription}}																			Mid {{Segmento médio em uma prescrição de óculos trifocais}}									Mid{{Middle segment in a trifocal glasses prescription}}																											dummy
6060	mid{{middle}}																μέσο			mid{{meio}}									mid{{middle}}																											dummy
6061	Mien		Semblante	Semblante	Miene	Mien	מראה				风采	風采	Выражение лица	Դեմքի արտահայտություն		Wajah				Mien		المظهر		Mien			Aspetto	Mien	Infatisare	Vẻ người				Вираз обличчя													Mien			Mien						dummy
6062	Migrant or seasonal worker?	Migrerande eller säsongsarbetare?	Migrante o trabajador de temporada?	Migrante o trabajador de temporada?	Migranten oder Saisonarbeiter?	Tijdelijke werkkracht?	עובד עונתי או מהגר?	Migrant ou travailleur saisonnier?			移民和季节性工人？	農民或季節性工人嗎？	Мигрант или сезонный рабочий?	Վերբնակի՞չ  է, թե՞ սեզոնային աշխատող		Migran atau pekerja musiman?	Μετανάστης ή εποχιακά εργαζόμενος;		Migrante ou trabalhador sazonal?	Imigrantes ou temporário?		مهاجر او عامل موسمى؟	Migrerande eller säsongsarbetare?	Göçer veya mevsimlik işçi mi?			Lavoratore migrante o stagionale?	प्रवासी या मौसमी कार्यकर्ता?	Migrant sau lucrator sezonier?	Người nhập cư hoặc lao động theo mùa?		Migrant apo punetor sezonal?	Migrující nebo sezónní pracovník ?	Мігрант чи сезонний робочий?			کارگر مهاجر یا فصلی؟										स्थलांतरित किंवा हंगामी कार्यकर्ता?			प्रवासी या मौसमी कार्यकर्ता?						dummy
